województwo;gmina;TERYT gminy;podano;liczba uprawnionych;liczba wydanych kart
podlaskie;gm. Dąbrowa Białostocka;"=""201101""";10;10185;2468
podlaskie;gm. Janów;"=""201102""";4;3575;2026
podlaskie;gm. Korycin;"=""201103""";3;2720;198
podlaskie;gm. Krynki;"=""201104""";4;2797;1591
podlaskie;gm. Kuźnica;"=""201105""";5;3433;340
podlaskie;gm. Nowy Dwór;"=""201106""";3;2401;239
podlaskie;gm. Sidra;"=""201107""";4;3071;2301
podlaskie;gm. Sokółka;"=""201108""";21;23778;4202
podlaskie;gm. Suchowola;"=""201109""";7;5941;1270
podlaskie;gm. Szudziałowo;"=""201110""";3;2656;1014
podlaskie;gm. Bakałarzewo;"=""201201""";4;2622;620
podlaskie;gm. Filipów;"=""201202""";3;3645;2734
podlaskie;gm. Jeleniewo;"=""201203""";3;2559;733
podlaskie;gm. Przerośl;"=""201204""";3;2468;1038
podlaskie;gm. Raczki;"=""201205""";5;4824;3800
podlaskie;gm. Rutka-Tartak;"=""201206""";2;2023;915
podlaskie;gm. Suwałki;"=""201207""";6;6051;4050
podlaskie;gm. Szypliszki;"=""201208""";4;3272;1519
podlaskie;gm. Wiżajny;"=""201209""";3;2033;980
podlaskie;m. Wysokie Mazowieckie;"=""201301""";5;7580;2707
podlaskie;gm. Ciechanowiec;"=""201302""";14;7463;1550
podlaskie;gm. Czyżew;"=""201303""";5;5352;933
podlaskie;gm. Klukowo;"=""201304""";3;3746;2150
podlaskie;gm. Kobylin-Borzymy;"=""201305""";4;2799;2250
podlaskie;gm. Kulesze Kościelne;"=""201306""";4;2594;2060
podlaskie;gm. Nowe Piekuty;"=""201307""";3;3234;1600
podlaskie;gm. Sokoły;"=""201308""";4;4795;800
podlaskie;gm. Szepietowo;"=""201309""";6;5890;3083
podlaskie;gm. Wysokie Mazowieckie;"=""201310""";8;4333;1060
podlaskie;m. Zambrów;"=""201401""";13;18150;8985
podlaskie;gm. Kołaki Kościelne;"=""201402""";3;1981;1453
podlaskie;gm. Rutki;"=""201403""";5;4683;488
podlaskie;gm. Szumowo;"=""201404""";10;3989;854
podlaskie;gm. Zambrów;"=""201405""";11;7055;2818
podlaskie;m. Białystok;"=""206101""";169;224646;74588
podlaskie;m. Łomża;"=""206201""";31;49282;39290
podlaskie;m. Suwałki;"=""206301""";34;54311;18873
pomorskie;gm. Borzytuchom;"=""220101""";3;2390;1910
pomorskie;gm. Bytów;"=""220102""";22;19346;6826
pomorskie;gm. Czarna Dąbrówka;"=""220103""";5;4532;2300
pomorskie;gm. Kołczygłowy;"=""220104""";4;3373;760
pomorskie;gm. Lipnica;"=""220105""";5;4158;925
pomorskie;gm. Miastko;"=""220106""";15;15994;2092
pomorskie;gm. Parchowo;"=""220107""";4;2742;576
pomorskie;gm. Studzienice;"=""220108""";3;2792;1420
pomorskie;gm. Trzebielino;"=""220109""";2;2922;630
pomorskie;gm. Tuchomie;"=""220110""";4;3236;1650
pomorskie;m. Chojnice;"=""220201""";21;31492;4660
pomorskie;gm. Brusy;"=""220202""";13;10738;2340
pomorskie;gm. Chojnice;"=""220203""";12;11180;2730
pomorskie;gm. Czersk;"=""220204""";14;16823;5410
pomorskie;gm. Konarzyny;"=""220205""";1;1760;200
pomorskie;m. Człuchów;"=""220301""";8;11471;8543
pomorskie;gm. Czarne;"=""220302""";8;7178;2208
pomorskie;gm. Człuchów;"=""220303""";7;8289;5400
pomorskie;gm. Debrzno;"=""220304""";11;7314;331
pomorskie;gm. Koczała;"=""220305""";4;2776;600
pomorskie;gm. Przechlewo;"=""220306""";7;3999;609
pomorskie;gm. Rzeczenica;"=""220307""";6;2993;1572
pomorskie;m. Pruszcz Gdański;"=""220401""";16;21601;4376
pomorskie;gm. Cedry Wielkie;"=""220402""";4;5185;1035
pomorskie;gm. Kolbudy;"=""220403""";7;11732;2345
pomorskie;gm. Pruszcz Gdański;"=""220404""";13;18270;1792
pomorskie;gm. Przywidz;"=""220405""";3;4455;890
pomorskie;gm. Pszczółki;"=""220406""";7;10065;1176
pomorskie;gm. Suchy Dąb;"=""220407""";3;3259;652
pomorskie;gm. Trąbki Wielkie;"=""220408""";5;8160;1637
pomorskie;gm. Chmielno;"=""220501""";4;5571;3903
pomorskie;gm. Kartuzy;"=""220502""";18;24584;15247
pomorskie;gm. Przodkowo;"=""220503""";5;6125;1331
pomorskie;gm. Sierakowice;"=""220504""";11;14737;3247
pomorskie;gm. Somonino;"=""220505""";5;7551;3010
pomorskie;gm. Stężyca;"=""220506""";7;7164;5700
pomorskie;gm. Sulęczyno;"=""220507""";2;1519;180
pomorskie;gm. Żukowo;"=""220508""";1;1792;546
pomorskie;m. Kościerzyna;"=""220601""";11;18123;6758
pomorskie;gm. Dziemiany;"=""220602""";3;3248;1600
pomorskie;gm. Karsin;"=""220603""";3;4693;1504
pomorskie;gm. Kościerzyna;"=""220604""";12;11496;2800
pomorskie;gm. Liniewo;"=""220605""";4;3601;1244
pomorskie;gm. Lipusz;"=""220606""";3;2000;500
pomorskie;gm. Nowa Karczma;"=""220607""";5;5006;500
pomorskie;gm. Stara Kiszewa;"=""220608""";5;5155;1000
pomorskie;m. Kwidzyn;"=""220701""";21;30283;6665
pomorskie;gm. Gardeja;"=""220702""";7;6538;1305
pomorskie;gm. Kwidzyn;"=""220703""";10;11057;1577
pomorskie;gm. Prabuty;"=""220704""";15;9857;2034
pomorskie;gm. Ryjewo;"=""220705""";4;4374;874
pomorskie;gm. Sadlinki;"=""220706""";3;4530;1144
pomorskie;m. Lębork;"=""220801""";21;27397;10500
pomorskie;m. Łeba;"=""220802""";3;1500;1500
pomorskie;gm. Cewice;"=""220803""";4;5368;709
pomorskie;gm. Nowa Wieś Lęborska;"=""220804""";13;10310;4730
pomorskie;gm. Wicko;"=""220805""";3;4521;2500
pomorskie;m. Malbork;"=""220901""";21;30745;6180
pomorskie;gm. Lichnowy;"=""220903""";3;3608;779
pomorskie;gm. Malbork;"=""220904""";4;3700;730
pomorskie;gm. Miłoradz;"=""220906""";2;2726;544
pomorskie;gm. Nowy Staw;"=""220907""";4;6038;1141
pomorskie;gm. Stare Pole;"=""220908""";3;3674;733
pomorskie;m. Krynica Morska;"=""221001""";1;1136;222
pomorskie;gm. Nowy Dwór Gdański;"=""221002""";14;14136;2933
pomorskie;gm. Ostaszewo;"=""221003""";3;2551;505
pomorskie;gm. Stegna;"=""221004""";8;7812;1650
pomorskie;gm. Sztutowo;"=""221005""";2;2975;350
pomorskie;m. Hel;"=""221101""";2;2949;1000
pomorskie;m. Jastarnia;"=""221102""";3;3109;615
pomorskie;m. Puck;"=""221103""";5;8921;6310
pomorskie;gm. Władysławowo;"=""221104""";12;12083;7091
pomorskie;gm. Kosakowo;"=""221105""";8;9324;4150
pomorskie;gm. Krokowa;"=""221106""";5;8064;4666
pomorskie;gm. Puck;"=""221107""";16;18722;18722
pomorskie;m. Ustka;"=""221201""";8;12814;3770
pomorskie;gm. Damnica;"=""221202""";3;1446;1446
pomorskie;gm. Dębnica Kaszubska;"=""221203""";7;7579;3050
pomorskie;gm. Główczyce;"=""221204""";15;7261;4400
pomorskie;gm. Kępice;"=""221205""";15;7276;1951
pomorskie;gm. Kobylnica;"=""221206""";7;8606;1250
pomorskie;gm. Potęgowo;"=""221207""";5;5492;1890
pomorskie;gm. Słupsk;"=""221208""";9;12558;3637
pomorskie;gm. Smołdzino;"=""221209""";2;2743;350
pomorskie;gm. Ustka;"=""221210""";14;6396;1907
pomorskie;gm. Czarna Woda;"=""221301""";3;2678;467
pomorskie;m. Skórcz;"=""221302""";2;2725;544
pomorskie;m. Starogard Gdański;"=""221303""";21;36645;8683
pomorskie;gm. Bobowo;"=""221304""";4;2328;466
pomorskie;gm. Kaliska;"=""221305""";3;4160;850
pomorskie;gm. Lubichowo;"=""221306""";6;4910;668
pomorskie;gm. Osieczna;"=""221307""";2;2269;453
pomorskie;gm. Osiek;"=""221308""";4;2055;411
pomorskie;gm. Skarszewy;"=""221309""";9;10827;1757
pomorskie;gm. Skórcz;"=""221310""";4;3567;713
pomorskie;gm. Smętowo Graniczne;"=""221311""";6;4179;839
pomorskie;gm. Starogard Gdański;"=""221312""";18;11647;1252
pomorskie;gm. Zblewo;"=""221313""";7;8800;2300
pomorskie;m. Tczew;"=""221401""";25;46276;9255
pomorskie;gm. Gniew;"=""221402""";15;12220;2334
pomorskie;gm. Morzeszczyn;"=""221403""";3;2859;377
pomorskie;gm. Pelplin;"=""221404""";11;12731;2380
pomorskie;gm. Subkowy;"=""221405""";4;4179;819
pomorskie;gm. Tczew;"=""221406""";11;10100;1960
pomorskie;m. Reda;"=""221501""";10;8600;1200
pomorskie;m. Rumia;"=""221502""";21;36451;29161
pomorskie;m. Wejherowo;"=""221503""";21;36962;4431
pomorskie;gm. Choczewo;"=""221504""";6;4462;1294
pomorskie;gm. Gniewino;"=""221505""";6;5392;4083
pomorskie;gm. Linia;"=""221506""";4;4463;1122
pomorskie;gm. Luzino;"=""221507""";7;12251;1216
pomorskie;gm. Łęczyce;"=""221508""";8;7341;3487
pomorskie;gm. Szemud;"=""221509""";7;11980;2167
pomorskie;gm. Wejherowo;"=""221510""";21;20448;8868
pomorskie;gm. Dzierzgoń;"=""221601""";12;7461;1493
pomorskie;gm. Mikołajki Pomorskie;"=""221602""";4;2731;584
pomorskie;gm. Stary Dzierzgoń;"=""221603""";5;3312;1597
pomorskie;gm. Stary Targ;"=""221604""";6;5045;1020
pomorskie;gm. Sztum;"=""221605""";12;14456;3220
pomorskie;m. Gdańsk;"=""226101""";207;354415;70804
pomorskie;m. Gdynia;"=""226201""";117;192520;84904
pomorskie;m. Słupsk;"=""226301""";43;73780;31180
pomorskie;m. Sopot;"=""226401""";21;30472;3970
pomorskie;Statki Gdynia;"=""229801""";0;0;0
pomorskie;Statki Gdańsk;"=""229901""";0;0;0
śląskie;m. Będzin;"=""240101""";35;45546;6759
śląskie;m. Czeladź;"=""240102""";21;26303;8723
śląskie;m. Wojkowice;"=""240103""";5;7516;6010
śląskie;gm. Bobrowniki;"=""240104""";10;9795;1446
śląskie;gm. Mierzęcice;"=""240105""";8;6163;3202
śląskie;gm. Psary;"=""240106""";9;9728;7463
śląskie;gm. Siewierz;"=""240107""";7;10198;1930
śląskie;m. Sławków;"=""240108""";5;5688;3000
śląskie;m. Szczyrk;"=""240201""";4;4698;835
śląskie;gm. Bestwina;"=""240202""";6;9119;5575
śląskie;gm. Buczkowice;"=""240203""";6;8781;800
śląskie;gm. Czechowice-Dziedzice;"=""240204""";22;35296;7067
śląskie;gm. Jasienica;"=""240205""";19;18776;8152
śląskie;gm. Jaworze;"=""240206""";3;5557;1233
śląskie;gm. Kozy;"=""240207""";5;10069;3510
śląskie;gm. Porąbka;"=""240208""";8;12405;2647
śląskie;gm. Wilamowice;"=""240209""";8;13328;10900
śląskie;gm. Wilkowice;"=""240210""";7;10523;4105
śląskie;m. Cieszyn;"=""240301""";21;27588;2930
śląskie;m. Ustroń;"=""240302""";9;8000;5000
śląskie;m. Wisła;"=""240303""";8;9212;2257
śląskie;gm. Brenna;"=""240304""";7;8677;2130
śląskie;gm. Chybie;"=""240305""";5;7555;3881
śląskie;gm. Dębowiec;"=""240306""";5;4569;419
śląskie;gm. Goleszów;"=""240307""";11;10371;1489
śląskie;gm. Hażlach;"=""240308""";7;8242;2300
śląskie;gm. Istebna;"=""240309""";6;9118;2250
śląskie;gm. Skoczów;"=""240310""";21;20578;6062
śląskie;gm. Strumień;"=""240311""";8;10180;1544
śląskie;gm. Zebrzydowice;"=""240312""";8;10865;6137
śląskie;gm. Blachownia;"=""240401""";6;10811;1010
śląskie;gm. Dąbrowa Zielona;"=""240402""";4;3404;1121
śląskie;gm. Janów;"=""240403""";7;4948;1991
śląskie;gm. Kamienica Polska;"=""240404""";5;2550;142
śląskie;gm. Kłomnice;"=""240405""";12;11301;5240
śląskie;gm. Koniecpol;"=""240406""";7;8318;700
śląskie;gm. Konopiska;"=""240407""";12;8813;2876
śląskie;gm. Kruszyna;"=""240408""";4;4042;3250
śląskie;gm. Lelów;"=""240409""";6;4100;3517
śląskie;gm. Mstów;"=""240410""";11;8779;2286
śląskie;gm. Mykanów;"=""240411""";11;11968;2100
śląskie;gm. Olsztyn;"=""240412""";6;6433;1781
śląskie;gm. Poczesna;"=""240413""";9;10498;2970
śląskie;gm. Przyrów;"=""240414""";6;3255;1254
śląskie;gm. Rędziny;"=""240415""";6;8153;1824
śląskie;gm. Starcza;"=""240416""";4;2293;1125
śląskie;m. Knurów;"=""240501""";21;30383;1472
śląskie;m. Pyskowice;"=""240502""";8;14534;8900
śląskie;gm. Gierałtowice;"=""240503""";6;9167;600
śląskie;gm. Pilchowice;"=""240504""";7;9060;4335
śląskie;gm. Rudziniec;"=""240505""";10;8666;4444
śląskie;gm. Sośnicowice;"=""240506""";9;6903;1100
śląskie;gm. Toszek;"=""240507""";7;7646;7646
śląskie;gm. Wielowieś;"=""240508""";3;4789;450
śląskie;gm. Kłobuck;"=""240601""";15;17056;4801
śląskie;gm. Krzepice;"=""240602""";8;7717;1952
śląskie;gm. Lipie;"=""240603""";5;5429;1673
śląskie;gm. Miedźno;"=""240604""";10;6279;2591
śląskie;gm. Opatów;"=""240605""";7;5574;2134
śląskie;gm. Panki;"=""240606""";4;4174;2590
śląskie;gm. Popów;"=""240607""";5;4932;3940
śląskie;gm. Przystajń;"=""240608""";4;4859;1435
śląskie;gm. Wręczyca Wielka;"=""240609""";10;14491;6750
śląskie;m. Lubliniec;"=""240701""";13;18469;3126
śląskie;gm. Boronów;"=""240702""";2;2780;850
śląskie;gm. Ciasna;"=""240703""";5;6327;1244
śląskie;gm. Herby;"=""240704""";4;5524;2820
śląskie;gm. Kochanowice;"=""240705""";6;4434;1370
śląskie;gm. Koszęcin;"=""240706""";6;9512;2913
śląskie;gm. Pawonków;"=""240707""";6;5334;3185
śląskie;gm. Woźniki;"=""240708""";10;7787;1304
śląskie;m. Łaziska Górne;"=""240801""";21;17354;6268
śląskie;m. Mikołów;"=""240802""";21;30324;5161
śląskie;m. Orzesze;"=""240803""";15;17317;10129
śląskie;gm. Ornontowice;"=""240804""";3;4597;1830
śląskie;gm. Wyry;"=""240805""";6;5822;2050
śląskie;m. Myszków;"=""240901""";21;26357;6679
śląskie;gm. Koziegłowy;"=""240902""";11;11908;2505
śląskie;gm. Niegowa;"=""240903""";6;4687;615
śląskie;gm. Poraj;"=""240904""";7;8999;2888
śląskie;gm. Żarki;"=""240905""";9;6898;920
śląskie;gm. Goczałkowice-Zdrój;"=""241001""";5;5329;2619
śląskie;gm. Kobiór;"=""241002""";3;3888;878
śląskie;gm. Miedźna;"=""241003""";11;12453;2370
śląskie;gm. Pawłowice;"=""241004""";16;13889;3245
śląskie;gm. Pszczyna;"=""241005""";30;40268;8309
śląskie;gm. Suszec;"=""241006""";8;9142;2892
śląskie;m. Racibórz;"=""241101""";24;42665;18812
śląskie;gm. Kornowac;"=""241102""";5;4045;1827
śląskie;gm. Krzanowice;"=""241103""";6;4752;452
śląskie;gm. Krzyżanowice;"=""241104""";7;9184;2770
śląskie;gm. Kuźnia Raciborska;"=""241105""";6;9519;949
śląskie;gm. Nędza;"=""241106""";8;5912;1671
śląskie;gm. Pietrowice Wielkie;"=""241107""";6;5582;356
śląskie;gm. Rudnik;"=""241108""";5;4239;2100
śląskie;gm. Czerwionka-Leszczyny;"=""241201""";21;32999;9642
śląskie;gm. Gaszowice;"=""241202""";7;7427;3286
śląskie;gm. Jejkowice;"=""241203""";3;3179;2050
śląskie;gm. Lyski;"=""241204""";10;7722;1130
śląskie;gm. Świerklany;"=""241205""";6;8888;3400
śląskie;m. Kalety;"=""241301""";5;7239;3646
śląskie;m. Miasteczko Śląskie;"=""241302""";5;5825;1490
śląskie;m. Radzionków;"=""241303""";15;13793;3233
śląskie;m. Tarnowskie Góry;"=""241304""";26;47571;21588
śląskie;gm. Krupski Młyn;"=""241305""";4;2830;520
śląskie;gm. Ożarowice;"=""241306""";4;6800;1250
śląskie;gm. Świerklaniec;"=""241307""";6;9534;4588
śląskie;gm. Tworóg;"=""241308""";9;6540;855
śląskie;gm. Zbrosławice;"=""241309""";10;12229;2366
śląskie;m. Bieruń;"=""241401""";15;15633;6805
śląskie;m. Imielin;"=""241402""";4;6921;1647
śląskie;m. Lędziny;"=""241403""";11;13081;5791
śląskie;gm. Bojszowy;"=""241404""";8;5912;1200
śląskie;gm. Chełm Śląski;"=""241405""";0;0;0
śląskie;m. Pszów;"=""241501""";5;11217;6300
śląskie;m. Radlin;"=""241502""";9;14094;9139
śląskie;m. Rydułtowy;"=""241503""";12;17071;10241
śląskie;m. Wodzisław Śląski;"=""241504""";23;38726;23789
śląskie;gm. Godów;"=""241505""";15;11405;4434
śląskie;gm. Gorzyce;"=""241506""";14;16194;8176
śląskie;gm. Lubomia;"=""241507""";7;6396;3150
śląskie;gm. Marklowice;"=""241508""";4;4326;1777
śląskie;gm. Mszana;"=""241509""";4;5923;989
śląskie;m. Poręba;"=""241601""";7;7161;3838
śląskie;m. Zawiercie;"=""241602""";39;19500;7800
śląskie;gm. Irządze;"=""241603""";3;2267;1700
śląskie;gm. Kroczyce;"=""241604""";5;5178;1048
śląskie;gm. Łazy;"=""241605""";10;13218;3869
śląskie;gm. Ogrodzieniec;"=""241606""";6;7812;2592
śląskie;gm. Pilica;"=""241607""";7;7341;700
śląskie;gm. Szczekociny;"=""241608""";12;6725;2648
śląskie;gm. Włodowice;"=""241609""";5;4382;1730
śląskie;gm. Żarnowiec;"=""241610""";7;3827;2985
śląskie;m. Żywiec;"=""241701""";22;25612;7529
śląskie;gm. Czernichów;"=""241702""";5;5347;2120
śląskie;gm. Gilowice;"=""241703""";3;5200;1050
śląskie;gm. Jeleśnia;"=""241704""";11;10950;9409
śląskie;gm. Koszarawa;"=""241705""";4;2070;450
śląskie;gm. Lipowa;"=""241706""";7;8209;4519
śląskie;gm. Łękawica;"=""241707""";4;3557;829
śląskie;gm. Łodygowice;"=""241708""";7;11291;4000
śląskie;gm. Milówka;"=""241709""";7;8049;2874
śląskie;gm. Radziechowy-Wieprz;"=""241710""";8;10384;3420
śląskie;gm. Rajcza;"=""241711""";8;7236;725
śląskie;gm. Ślemień;"=""241712""";3;2907;1356
śląskie;gm. Świnna;"=""241713""";6;6498;900
śląskie;gm. Ujsoły;"=""241714""";5;3742;2040
śląskie;gm. Węgierska Górka;"=""241715""";8;11984;3120
śląskie;m. Bielsko-Biała;"=""246101""";73;134958;35866
śląskie;m. Bytom;"=""246201""";68;127698;61279
śląskie;m. Chorzów;"=""246301""";53;85149;12832
śląskie;m. Częstochowa;"=""246401""";126;185638;100272
śląskie;m. Dąbrowa Górnicza;"=""246501""";65;100412;39170
śląskie;m. Gliwice;"=""246601""";110;144412;24321
śląskie;m. Jastrzębie-Zdrój;"=""246701""";40;71544;33254
śląskie;m. Jaworzno;"=""246801""";44;75277;18045
śląskie;m. Katowice;"=""246901""";147;233015;95125
śląskie;m. Mysłowice;"=""247001""";38;58570;21476
śląskie;m. Piekary Śląskie;"=""247101""";28;44849;20405
śląskie;m. Ruda Śląska;"=""247201""";74;109130;48410
śląskie;m. Rybnik;"=""247301""";66;109068;54516
śląskie;m. Siemianowice Śląskie;"=""247401""";38;54300;4503
śląskie;m. Sosnowiec;"=""247501""";109;168669;74449
śląskie;m. Świętochłowice;"=""247601""";23;40034;19219
śląskie;m. Tychy;"=""247701""";63;102134;14616
śląskie;m. Zabrze;"=""247801""";78;136390;55070
śląskie;m. Żory;"=""247901""";31;47400;12519
świętokrzyskie;gm. Busko-Zdrój;"=""260101""";21;26616;4904
świętokrzyskie;gm. Gnojno;"=""260102""";4;3681;702
świętokrzyskie;gm. Nowy Korczyn;"=""260103""";5;5192;2565
świętokrzyskie;gm. Pacanów;"=""260104""";6;6329;2325
świętokrzyskie;gm. Solec-Zdrój;"=""260105""";6;4099;2639
świętokrzyskie;gm. Stopnica;"=""260106""";4;21110;4555
świętokrzyskie;gm. Tuczępy;"=""260107""";3;3090;414
świętokrzyskie;gm. Wiślica;"=""260108""";5;4779;650
świętokrzyskie;gm. Imielno;"=""260201""";4;3674;1450
świętokrzyskie;gm. Jędrzejów;"=""260202""";21;11753;5224
świętokrzyskie;gm. Małogoszcz;"=""260203""";7;9466;5799
świętokrzyskie;gm. Nagłowice;"=""260204""";7;4198;1173
świętokrzyskie;gm. Oksa;"=""260205""";5;3878;1330
świętokrzyskie;gm. Sędziszów;"=""260206""";11;10628;1596
świętokrzyskie;gm. Słupia (Jędrzejowska);"=""260207""";4;3651;750
świętokrzyskie;gm. Sobków;"=""260208""";6;6908;2691
świętokrzyskie;gm. Wodzisław;"=""260209""";8;6110;1825
świętokrzyskie;gm. Bejsce;"=""260301""";2;3447;1461
świętokrzyskie;gm. Czarnocin;"=""260302""";3;6905;764
świętokrzyskie;gm. Kazimierza Wielka;"=""260303""";0;0;0
świętokrzyskie;gm. Opatowiec;"=""260304""";3;3037;1750
świętokrzyskie;gm. Skalbmierz;"=""260305""";5;4252;443
świętokrzyskie;gm. Bieliny;"=""260401""";9;8028;2260
świętokrzyskie;gm. Bodzentyn;"=""260402""";11;9511;870
świętokrzyskie;gm. Chęciny;"=""260403""";0;0;0
świętokrzyskie;gm. Chmielnik;"=""260404""";9;9201;1460
świętokrzyskie;gm. Daleszyce;"=""260405""";14;12494;4684
świętokrzyskie;gm. Górno;"=""260406""";8;11007;1628
świętokrzyskie;gm. Łagów;"=""260407""";6;5696;2450
świętokrzyskie;gm. Łopuszno;"=""260408""";10;7342;4510
świętokrzyskie;gm. Masłów;"=""260409""";7;6136;664
świętokrzyskie;gm. Miedziana Góra;"=""260410""";7;8938;4600
świętokrzyskie;gm. Mniów;"=""260411""";7;7508;2937
świętokrzyskie;gm. Morawica;"=""260412""";9;12158;1681
świętokrzyskie;gm. Nowa Słupia;"=""260413""";8;8197;7180
świętokrzyskie;gm. Piekoszów;"=""260414""";0;0;0
świętokrzyskie;gm. Pierzchnica;"=""260415""";4;3885;1020
świętokrzyskie;gm. Raków;"=""260416""";10;4851;3037
świętokrzyskie;gm. Sitkówka-Nowiny;"=""260417""";7;6038;2989
świętokrzyskie;gm. Strawczyn;"=""260418""";7;8254;726
świętokrzyskie;gm. Zagnańsk;"=""260419""";11;10694;3670
świętokrzyskie;gm. Fałków;"=""260501""";3;3896;3000
świętokrzyskie;gm. Gowarczów;"=""260502""";5;3881;500
świętokrzyskie;gm. Końskie;"=""260503""";22;30154;5116
świętokrzyskie;gm. Radoszyce;"=""260504""";9;8542;2850
świętokrzyskie;gm. Ruda Maleniecka;"=""260505""";5;2731;700
świętokrzyskie;gm. Słupia (Konecka);"=""260506""";5;2752;623
świętokrzyskie;gm. Smyków;"=""260507""";5;3044;2737
świętokrzyskie;gm. Stąporków;"=""260508""";17;14038;7783
świętokrzyskie;gm. Baćkowice;"=""260601""";4;4137;2050
świętokrzyskie;gm. Iwaniska;"=""260602""";6;5634;2850
świętokrzyskie;gm. Lipnik;"=""260603""";4;4594;1485
świętokrzyskie;gm. Opatów;"=""260604""";10;9963;2924
świętokrzyskie;gm. Ożarów;"=""260605""";11;9055;5050
świętokrzyskie;gm. Sadowie;"=""260606""";4;3423;2398
świętokrzyskie;gm. Tarłów;"=""260607""";6;4697;417
świętokrzyskie;gm. Wojciechowice;"=""260608""";4;3500;720
świętokrzyskie;m. Ostrowiec Świętokrzyski;"=""260701""";35;59376;3500
świętokrzyskie;gm. Bałtów;"=""260702""";5;3120;2590
świętokrzyskie;gm. Bodzechów;"=""260703""";1;800;750
świętokrzyskie;gm. Ćmielów;"=""260704""";6;6323;634
świętokrzyskie;gm. Kunów;"=""260705""";8;4597;1291
świętokrzyskie;gm. Waśniów;"=""260706""";6;5675;4500
świętokrzyskie;gm. Działoszyce;"=""260801""";0;0;0
świętokrzyskie;gm. Kije;"=""260802""";4;3781;2500
świętokrzyskie;gm. Michałów;"=""260803""";5;3903;449
świętokrzyskie;gm. Pińczów;"=""260804""";14;17567;7426
świętokrzyskie;gm. Złota;"=""260805""";0;0;0
świętokrzyskie;m. Sandomierz;"=""260901""";13;20120;4005
świętokrzyskie;gm. Dwikozy;"=""260902""";8;7475;3300
świętokrzyskie;gm. Klimontów;"=""260903""";8;6868;4715
świętokrzyskie;gm. Koprzywnica;"=""260904""";0;0;0
świętokrzyskie;gm. Łoniów;"=""260905""";4;6232;410
świętokrzyskie;gm. Obrazów;"=""260906""";5;5521;1200
świętokrzyskie;gm. Samborzec;"=""260907""";7;7224;5559
świętokrzyskie;gm. Wilczyce;"=""260908""";5;3196;1000
świętokrzyskie;gm. Zawichost;"=""260909""";3;3772;705
świętokrzyskie;m. Skarżysko-Kamienna;"=""261001""";26;39828;14601
świętokrzyskie;gm. Bliżyn;"=""261002""";5;7052;840
świętokrzyskie;gm. Łączna;"=""261003""";6;4307;207
świętokrzyskie;gm. Skarżysko Kościelne;"=""261004""";5;5196;1750
świętokrzyskie;gm. Suchedniów;"=""261005""";12;8905;7130
świętokrzyskie;m. Starachowice;"=""261101""";23;42539;7590
świętokrzyskie;gm. Brody;"=""261102""";12;9048;2450
świętokrzyskie;gm. Mirzec;"=""261103""";9;6933;1141
świętokrzyskie;gm. Pawłów;"=""261104""";13;12152;740
świętokrzyskie;gm. Wąchock;"=""261105""";6;5904;279
świętokrzyskie;gm. Bogoria;"=""261201""";6;6428;3230
świętokrzyskie;gm. Łubnice;"=""261202""";4;3532;272
świętokrzyskie;gm. Oleśnica;"=""261203""";4;3268;662
świętokrzyskie;gm. Osiek;"=""261204""";9;6393;636
świętokrzyskie;gm. Połaniec;"=""261205""";0;0;0
świętokrzyskie;gm. Rytwiany;"=""261206""";6;5242;1600
świętokrzyskie;gm. Staszów;"=""261207""";22;20792;8153
świętokrzyskie;gm. Szydłów;"=""261208""";6;4671;2296
świętokrzyskie;gm. Kluczewsko;"=""261301""";4;4288;2700
świętokrzyskie;gm. Krasocin;"=""261302""";7;8662;4560
świętokrzyskie;gm. Moskorzew;"=""261303""";4;2385;730
świętokrzyskie;gm. Radków;"=""261304""";3;2126;370
świętokrzyskie;gm. Secemin;"=""261305""";7;4113;951
świętokrzyskie;gm. Włoszczowa;"=""261306""";13;16487;4012
świętokrzyskie;m. Kielce;"=""266101""";84;159223;63738
warmińsko-mazurskie;m. Bartoszyce;"=""280101""";11;19947;5500
warmińsko-mazurskie;m. Górowo Iławeckie;"=""280102""";2;3850;900
warmińsko-mazurskie;gm. Bartoszyce;"=""280103""";9;8896;6300
warmińsko-mazurskie;gm. Bisztynek;"=""280104""";4;5403;569
warmińsko-mazurskie;gm. Górowo Iławeckie;"=""280105""";6;5720;3390
warmińsko-mazurskie;gm. Sępopol;"=""280106""";6;5374;4256
warmińsko-mazurskie;m. Braniewo;"=""280201""";8;13600;3600
warmińsko-mazurskie;gm. Braniewo;"=""280202""";5;5023;650
warmińsko-mazurskie;gm. Frombork;"=""280203""";3;3112;1200
warmińsko-mazurskie;gm. Lelkowo;"=""280204""";4;2537;332
warmińsko-mazurskie;gm. Pieniężno;"=""280205""";7;5568;2657
warmińsko-mazurskie;gm. Płoskinia;"=""280206""";3;2038;260
warmińsko-mazurskie;gm. Wilczęta;"=""280207""";3;3000;900
warmińsko-mazurskie;m. Działdowo;"=""280301""";12;17393;3562
warmińsko-mazurskie;gm. Działdowo;"=""280302""";11;7465;1503
warmińsko-mazurskie;gm. Iłowo-Osada;"=""280303""";5;9827;1000
warmińsko-mazurskie;gm. Lidzbark;"=""280304""";10;11744;1055
warmińsko-mazurskie;gm. Płośnica;"=""280305""";5;4714;463
warmińsko-mazurskie;gm. Rybno;"=""280306""";9;5753;1439
